CVEGEO,NOM_LOC,NIVEL,VIVIENDAS_INEGI,RANK_PREMIUM_0_100,Acumulado_15y_Energia_GWh,Acumulado_15y_Dinero_MXN,Acumulado_15y_CO2_Ton,Gen_2026_MWh,Ahorro_2026_MXN,CO2_2026_Ton,Gen_2030_MWh,Ahorro_2030_MXN,CO2_2030_Ton,Gen_2035_MWh,Ahorro_2035_MXN,CO2_2035_Ton,Gen_2040_MWh,Ahorro_2040_MXN,CO2_2040_Ton
1903100010340,CIUDAD BENITO JUÁREZ,D,886.0,0.0,4.269593542159727,8193379.477625067,1806.0380683335648,32.24766609090074,38697.19930908089,13.640762756451013,180.61447894467486,263445.6335972949,76.39992459359746,357.79259219143233,666064.4924815962,151.3462664969759,526.0892981887987,1249944.9907330787,222.53577313386185
1901800251243,VALLE DE LINCOLN,C,329.0,15.578764142732812,4.266320610169096,8187098.698544132,1804.6536181015276,32.222946075533955,38667.53529064075,13.630306189950863,180.47602574057657,263243.6847153981,76.3413588882639,357.51831998977394,665553.9090352468,151.23024935567437,525.6860151884455,1248986.8234259794,222.3651844247124
1903900014163,MONTERREY,D,803.0,0.0,4.254665359584851,8164732.192224367,1799.7234471043917,32.13491553460888,38561.89864153065,13.593069271139555,179.98297950784826,262524.5237824938,76.13280033181981,356.5416082072589,663735.6683787336,150.81710027167048,524.2498825590667,1245574.6901773075,221.7577003224852
1901801050353,PARQUE INDUSTRIAL CIUDAD MITRAS,D,649.0,0.0,4.2544417164002075,8164303.019409375,1799.6288460372878,32.13322638769814,38559.87166523776,13.592354761996312,179.97351884212796,262510.7243845192,76.12879847022012,356.5228668741626,663700.7796281289,150.8091726877708,524.2223257706063,1245509.2175098055,221.74604380096648
1903900011084,MONTERREY,D,548.0,0.0,4.233414956213351,8123952.52147678,1790.7345264782475,31.974414094494175,38369.29691339301,13.525177161971037,179.08403432854527,261213.31560187365,75.75254652097465,354.76082115286476,660420.5661337766,150.0638273476618,521.6314577170884,1239353.5276748398,220.6501066143284
1904900010275,SANTIAGO,D,180.0,0.0,4.204909051832399,8069249.494212058,1778.6765289251045,31.759112830563765,38110.93539667652,13.434104727328473,177.878163320972,259454.4231061947,75.24246308477115,352.37202200359894,655973.5923067026,149.0533653075223,518.119027064866,1231008.2807478302,219.16434844843835
1903100010783,CIUDAD BENITO JUÁREZ,D,1319.0,0.0,4.19496553177676,8050167.810591654,1774.4704199415696,31.684010760224727,38020.81291226967,13.40233655157506,177.45752756817936,258840.8806424032,75.06453416133986,351.53875350132023,654422.3847798174,148.70089273105847,516.8938098548572,1228097.2652235022,218.6460815686046
1903100011156,CIUDAD BENITO JUÁREZ,C-,345.0,6.353350739773717,4.168353426414478,7999098.996715421,1763.2134993733243,31.483013105711542,37779.61572685385,13.317314543715982,176.33176899276282,257198.84074111131,74.58833828393867,349.3086549996193,650270.8471036972,147.75756106483897,513.614728674149,1220306.4374873284,217.259030229165
1904600011214,SAN NICOLÁS DE LOS GARZA,D,638.0,0.0,4.166085455144578,7994746.7441941565,1762.2541475261564,31.465883423578262,37759.06010829392,13.310068688173606,176.23582813911253,257058.90069242063,74.54775530284459,349.1185986601434,649917.0393892318,147.67716723324065,513.3352745757875,1219642.477487402,217.14082114555808
190310001132A,CIUDAD BENITO JUÁREZ,C,265.0,17.92863359442994,4.155427997230276,7974295.008895125,1757.7460428284066,31.385389076562646,37662.46689187517,13.276019579385999,175.78499103036683,256401.30630432584,74.35705120584517,348.22550205605756,648254.4562354162,147.29938736971235,512.0220876180015,1216522.4530629714,216.5853430624146
1903900014182,MONTERREY,D,640.0,0.0,4.109787584241338,7886710.74134334,1738.4401481340856,31.040673172394026,37248.80780687283,13.130204751922673,173.85428747991904,253585.16762536604,73.54036360400575,344.4008284634187,641134.467362014,145.6815504400261,506.3983830191201,1203160.9925334859,214.2065160170878
1903100011885,CIUDAD BENITO JUÁREZ,D,873.0,0.0,4.105443745462708,7878374.884744462,1736.6027043307254,31.00786474201236,37209.43769041483,13.116326785871228,173.67053224189118,253317.1408570143,73.46263513831997,344.0368141090496,640456.8204752692,145.527572368128,505.86314539710077,1201889.311876232,213.98011050297362
1903103131599,ARBOLEDAS DE SAN ROQUE,C-,588.0,0.8703220191470844,4.099849798626333,7867640.062154089,1734.2364648189384,30.965614413514245,37158.73729621709,13.098454896916525,173.43389430829876,252971.97899229193,73.36253729241037,343.56804050814253,639584.1544184777,145.3292811349443,505.1738723934308,1200251.655795504,213.68854802242126
1904800011280,CIUDAD SANTA CATARINA,D,710.0,0.0,4.088864043985855,7846558.323171511,1729.5894906060166,30.882640485456566,37059.16858254788,13.063356925348128,172.96916942743803,252294.12779563185,73.16595866780628,342.64743258816543,637870.3563679411,144.939863984794,503.8202334833533,1197035.5208527523,213.11595876345845
1904800011609,CIUDAD SANTA CATARINA,C,358.0,14.969538729329852,4.088713514919269,7846269.456853729,1729.5258168108508,30.881503559651264,37057.80427158152,13.062876005732486,172.9628016716648,252284.83973930287,73.16326510711421,342.6348182293507,637846.873555034,144.93452811101534,503.80168564496654,1196991.4527111645,213.10811302782085
1903900011050,MONTERREY,D,523.0,0.0,4.0545434168042,7780696.802717002,1715.0718653081765,30.623421401846922,36748.1056822163,12.953707252981246,171.51732111113824,250176.45095261463,72.55182683001148,339.7713587783974,632516.2750251452,143.72328476326211,499.59132633116036,1186987.9845706858,211.32713103808084
190260001164A,GUADALUPE,D,637.0,0.0,4.04712878506721,7766468.07323535,1711.9354760834299,30.567419685037017,36680.90362204442,12.930018526770658,171.2036636553361,249718.9478351507,72.41914972620717,339.15001150420693,631359.5787550975,143.46045486627952,498.67771280604995,1184817.3138250362,210.94067251695913
1904800011276,CIUDAD SANTA CATARINA,D,592.0,0.0,4.022042040913001,7718326.438045984,1701.3237833061996,30.37794287868426,36453.53145442111,12.84986983768344,170.1424316717551,248171.02690465958,71.9702485971524,337.0477385051623,627446.0002497683,142.57119338768365,495.586583054328,1177473.0432569543,209.63312463198073
1903103130406,ARBOLEDAS DE SAN ROQUE,D,656.0,0.0,4.005987040753964,7687516.781923593,1694.5325182389267,30.25668162064982,36308.017944779785,12.798576325534874,169.46326503456876,247180.3893539098,71.68296110962258,335.702327035004,624941.3905188589,142.0020843358067,493.6083236058147,1172772.861184153,208.79632088525963
1903100011584,CIUDAD BENITO JUÁREZ,D,1850.0,0.0,4.004228001090142,7684141.172667214,1693.78844446113,30.24339583052496,36292.074996629955,12.792956436312059,169.3888532599614,247071.85178137917,71.65148492896367,335.554919241997,624666.9770766028,141.93973083936473,493.39157886580875,1172257.8934724529,208.70463786023709
190390001317A,MONTERREY,D,194.0,0.0,3.9971015249949033,7670465.415851034,1690.773945072844,30.18957051454236,36227.48461745083,12.770188327651418,169.08738550806805,246632.12865745943,71.52396406991278,334.9577194546805,623555.2336198342,141.68711532932986,492.5134712027531,1170171.5817407006,208.33319831876457
1903900013860,MONTERREY,D,703.0,0.0,3.9963445788314993,7669012.830938756,1690.453756845724,30.1838534019214,36220.62408230568,12.767769989012752,169.0553647933226,246585.42300277634,71.51041930757546,334.8942872503548,623437.1486177876,141.6602835069001,492.4202020725795,1169949.981943001,208.29374547670113
1902600011762,GUADALUPE,D,650.0,0.0,3.975373729440803,7628769.626209908,1681.5830875534596,30.025463395445122,36030.55607453415,12.700771016273288,168.16824544617,245291.46406962446,71.1351678237299,333.13692686233117,620165.6573110868,140.91692006276608,489.8362232161768,1163810.660274911,207.20072242044276
1904104560525,VALLE DE SANTA MARÍA,D,1213.0,0.0,3.9541964401873617,7588130.261959534,1672.625094199254,29.86551417643587,35838.61701172304,12.633112496632373,167.27239317681412,243984.76723064997,70.75622231379238,331.36226678221874,616861.9610038279,140.16623884887855,487.22680732427233,1157610.9022983578,206.0969394981672
1903900013339,MONTERREY,D,851.0,0.0,3.9534394940239554,7586677.677047253,1672.3049059721334,29.859797063814902,35831.75647657788,12.630694157993704,167.24037246206862,243938.0615759668,70.74267755145503,331.298834577893,616743.8760017811,140.13940702644874,487.13353819409855,1157389.3025006577,206.0574866561037
1903900013358,MONTERREY,D,829.0,0.0,3.9338105037411153,7549009.509208361,1664.001843082492,29.711541938803077,35653.85032656369,12.5679822401137,166.41001710923754,242726.89903066226,70.39143723720748,329.6539221884468,613681.7171987086,139.44360908571298,484.71490006845846,1151642.8168375813,205.0344027289579
1903900013729,MONTERREY,D,691.0,0.0,3.9323697255323617,7546244.645881008,1663.3923939001888,29.700659934666582,35640.7919215999,12.563379152363964,166.34906858969367,242637.99906294164,70.36565601344041,329.5331847540769,613456.953132313,139.3925371509745,484.53737075818475,1151221.0217680964,204.95930783071213
1902600010603,GUADALUPE,D,520.0,0.0,3.92690767083052,7535762.92520717,1661.0819447613098,29.65940576973121,35591.28692367746,12.545928640596303,166.11801002306447,242300.97530471705,70.26791823975627,329.0754637342266,612604.8624925448,139.19892115957785,483.86434919386335,1149621.9777733313,204.6746197090042
1903900013377,MONTERREY,D,751.0,0.0,3.905868008152241,7495387.667304479,1652.1821674483979,29.50049602574394,35400.59523089272,12.478709818889685,165.22797970184405,241002.77040295754,69.89143541388003,327.31233678217325,609322.6361856577,138.45311845885928,481.27189132562654,1143462.5106690866,203.57801003074
1903900011968,MONTERREY,D,767.0,0.0,3.9034681447478095,7490782.312866683,1651.1670252283232,29.482370180047926,35378.84421605751,12.471042586160273,165.12645948123063,240854.69224776913,69.84849236056054,327.11122786164054,608948.2530541689,138.36804938547394,480.97618578791685,1142759.9385831978,203.4529265882888
1903900013165,MONTERREY,D,125.0,0.0,3.900513474212247,7485112.279714773,1649.9171995917802,29.460053950669504,35352.064740803406,12.461602821133202,165.0014695321958,240672.38097068234,69.79562161211882,326.8636260186193,608487.3189836802,138.26331380587595,480.6121182172958,1141894.9439183131,203.29892600591612
1903900014712,MONTERREY,D,597.0,0.0,3.8964878968886834,7477387.16904492,1648.2143803839133,29.42964930627619,35315.579167531425,12.448741656554828,164.8311775492313,240423.99180714044,69.72358810332484,326.5262820228871,607859.3214727959,138.12061729568123,480.1160960250084,1140716.4359032738,203.08910861857856
1904800010441,CIUDAD SANTA CATARINA,D,503.0,0.0,3.8511184362196014,7390322.860865145,1629.0230985208914,29.08697986855713,34904.37584226856,12.303792484399667,162.91193595917537,237624.57162957295,68.91174891073119,322.72431427611485,600781.6016626263,136.51238493879657,474.52577753522354,1127434.2980286472,200.72440389739955
190390001452A,MONTERREY,D,643.0,0.0,3.8506883531722123,7389497.528528621,1628.8411733918458,29.083731509113395,34900.47781093608,12.302418428354965,162.89374237125182,237598.03432577572,68.90405302303951,322.68827325092974,600714.5079114633,136.4971395851433,474.4727837112612,1127308.3890526814,200.70198750986347
1904104560455,VALLE DE SANTA MARÍA,D+,951.0,0.0,3.8212190627651075,7332945.756830089,1616.3756635496406,28.86115392002903,34633.384704034834,12.208268108172279,161.6471177267298,235779.69826959106,68.37673079840668,320.2187422052494,596117.2440817846,135.45252795282047,470.8416468933632,1118681.1060195086,199.16601663589262
1903900013324,MONTERREY,D,647.0,0.0,3.8087036460860815,7308928.5858372785,1611.0816422944129,28.766626660216485,34519.951992259776,12.168283077271571,161.11768431815423,235007.4627290922,68.15278046657923,319.169948372364,594164.8159229454,135.00888816150996,469.29952661605967,1115017.154818905,198.51369975859322
1903900014036,MONTERREY,D,1163.0,0.0,3.8084240921052794,7308392.119818538,1610.9633909605332,28.76451522657806,34517.41827189367,12.167389940842519,161.10585848600394,234990.21348162403,68.14777813957966,319.1465217059937,594121.2049846896,134.99897868163532,469.26508063048414,1114935.3139845273,198.4991291066948
1904104560417,VALLE DE SANTA MARÍA,D,335.0,0.0,3.7929583057211658,7278713.168997184,1604.421363320053,28.647704220981538,34377.24506517784,12.117978885475189,160.45161706427288,234035.93203707645,67.87103401818742,317.8504864403389,591708.5136928734,134.45075576426336,467.3594227207993,1110407.6272087994,197.6930358108981
1903103111527,MONTE KRISTAL,D,603.0,0.0,3.7929281999078475,7278655.395733627,1604.4086285610194,28.64747683582047,34376.972202984565,12.117882701552059,160.45034351311818,234034.0744258106,67.870495306049,317.84796356857584,591703.8171302918,134.44968858950756,467.3557131531218,1110398.8135804813,197.6914666637705
1903900014040,MONTERREY,D,798.0,0.0,3.7850189726663612,7263477.534064976,1601.0630254378707,28.58773950565028,34305.287406780335,12.092613810890066,160.115763431204,233546.0534089799,67.72896793139928,317.1851691154226,590469.963046407,134.16932653582376,466.38115673045485,1108083.3475124715,197.27922929698238
1903102240961,HÉCTOR CABALLERO,D,718.0,0.0,3.7686414102217816,7232048.878690191,1594.1353165238138,28.464041978033045,34156.85037363965,12.040289756707978,159.42295160307498,232535.51288038222,67.43590852810071,315.8127268763754,587915.0330021253,133.5887834687068,464.3631519139697,1103288.7337076957,196.42561325960918
190390001420A,MONTERREY,D,655.0,0.0,3.7442427989433953,7185227.775239261,1583.814703953056,28.279762546790252,33935.7150561483,11.962339557292276,158.39082936017164,231030.05163596658,66.99932081935259,313.7681195176269,584108.8044986568,132.72391455595618,461.35681228058746,1096145.917501159,195.1539315946885
1903900011099,MONTERREY,D,519.0,0.0,3.7404924747701616,7178030.877264785,1582.2283168277784,28.25143685244093,33901.724222929115,11.950357788582512,158.23218127347823,230798.64634685495,66.93221267868128,313.45384177801316,583523.7469885167,132.59097507209955,460.89470613563606,1095047.9912307377,194.95846069537407
1903100011620,CIUDAD BENITO JUÁREZ,D,1156.0,0.0,3.735202453287274,7167879.289525554,1579.9906377405168,28.211482031283044,33853.77843753965,11.933456899232727,158.00840014201844,230472.23751014922,66.8375532600738,313.0105371682368,582698.4938492134,132.40345722216418,460.24288210089946,1093499.3108263589,194.68273912868045
190210001058A,CIUDAD GENERAL ESCOBEDO,D,315.0,0.0,3.7278351306854987,7153741.346600921,1576.8742602799662,28.155837634011956,33787.00516081435,11.909919319187058,157.696743980888,230017.65349610313,66.70572270391561,312.39315440681673,581549.1778917938,132.14230431408347,459.33509789642505,1091342.490068066,194.2987464101878
1903100011230,CIUDAD BENITO JUÁREZ,C-,421.0,2.175805047867711,3.7145412636906996,7128230.324079004,1571.250954541166,28.055430843606267,33666.51701232752,11.867447246845451,157.13438017817086,229197.38543573138,66.46784281536627,311.27912631834647,579475.31004335,131.67107043266054,457.6970587977498,1087450.6436209644,193.60585587144814
1904800011331,CIUDAD SANTA CATARINA,D,757.0,0.0,3.7136724959349734,7126563.152759229,1570.8834657804937,28.048869157529932,33658.642989035914,11.86467165363516,157.09762913056528,229143.780082061,66.45229712222911,311.2063234474726,579339.7806660009,131.64027481828091,457.59001127334585,1087196.3074895137,193.5605747686253
1901900010609,SAN PEDRO GARZA GARCÍA,C,484.0,14.360313315926893,3.7108597528050487,7121165.479278371,1569.6936754365354,28.02762488676794,33633.14986412152,11.855685327102838,156.97864306554519,228970.22611522724,66.40196601672561,310.9706151427623,578900.9875333959,131.54057020538843,457.24343166463234,1086372.8627866977,193.41397159413947
1903900014093,MONTERREY,D,770.0,0.0,3.7086233209586243,7116873.751128452,1568.747664765498,28.01073341766054,33612.88010119265,11.84854023567041,156.8840364083427,228832.23213548175,66.36194740072895,310.7832018117999,578552.100027349,131.46129436639137,456.9678637800282,1085718.1361116755,193.2974063789519
1903100011033,CIUDAD BENITO JUÁREZ,D,966.0,0.0,3.693303762810623,7087475.413301515,1562.2674916688936,27.89502685427488,33474.03222512986,11.799596359358274,156.23598080650564,227886.9733742252,66.08781988115189,309.49942049470803,576162.220610928,130.91825486926152,455.0802237704905,1081233.2583877759,192.4989346549175
1903100451122,JARDINES DE LA SILLA (JARDINES),C-,1347.0,0.17406440382941687,3.682933026927912,7067573.8995601665,1557.880670390507,27.816698080221745,33380.03769626609,11.766463287933798,155.79727275637563,227247.07052199522,65.9022463759469,308.63035124074565,574544.3666245545,130.5506385748354,453.8023660286791,1078197.1732806552,191.95840083013127
1902600011809,GUADALUPE,D,463.0,0.0,3.666187026672735,7035438.20948376,1550.7971122825675,27.69021779134771,33228.26134961725,11.71296212574008,155.08887508792537,226213.79636981117,65.60259416219243,307.2270338567899,571931.9596001101,129.9570353214221,451.73896316966625,1073294.6974531354,191.08558142076882
1902100010999,CIUDAD GENERAL ESCOBEDO,D,800.0,0.0,3.663550617592241,7030378.922260878,1549.6819112415176,27.670305347957648,33204.36641754918,11.704539162186085,154.97734839395397,226051.12269753427,65.55541837064254,307.00610237240545,571520.6749054817,129.8635813035275,451.41411102877726,1072522.8754304654,190.94816896517278
1903100010571,CIUDAD BENITO JUÁREZ,D,906.0,0.0,3.644579654371905,6993973.512896861,1541.6571937993153,27.52702021289472,33032.42425547366,11.643929550054466,154.1748292306459,224880.5622270394,65.21595276456321,305.4163327514923,568561.169541688,129.19110875388122,449.0765534537994,1066969.0305006162,189.95938211095714
1904104560436,VALLE DE SANTA MARÍA,D,1450.0,0.0,3.6329028996352895,6971565.739960271,1536.717926545727,27.438827253997456,32926.592704796945,11.606623928440923,153.68087331852138,224160.0744289452,65.00700941373454,304.4378189177179,566739.5741976167,128.77719740219467,447.6377711332225,1063550.6018031463,189.3507771893531
1902600011230,GUADALUPE,D,819.0,0.0,3.6309460217696685,6967810.477829094,1535.8901672085697,27.42404721852849,32908.85666223418,11.60037197343755,153.5980924934692,224039.32969666793,64.97199312473748,304.27383225312593,566434.2976298258,128.70783104307225,447.39664923419394,1062977.7159625022,189.24878262606404
1902100010630,CIUDAD GENERAL ESCOBEDO,D,773.0,0.0,3.6184607109039613,6943851.080099841,1530.6088807123756,27.32974734387701,32795.69681265241,11.560483126459975,153.06993263604835,223268.95176743495,64.74858150504845,303.22756129200354,564486.566033568,128.2652584265175,445.85823852456787,1059322.5783902165,188.5980348958922
1903100011902,CIUDAD BENITO JUÁREZ,D,1575.0,0.0,3.6071796325709435,6922202.6129128495,1525.8369845775092,27.244542875667975,32693.45145080157,11.524441636407554,152.5927148248135,222572.8782888342,64.54671837089612,302.28220520139934,562726.6969405663,127.86537280019192,444.46821052203626,1056019.985950635,188.01005305082134
1904600011604,SAN NICOLÁS DE LOS GARZA,D,1030.0,0.0,3.6022078725431252,6912661.771102649,1523.7339300857416,27.206991840498457,32648.390208598146,11.508557548530847,152.38239694841718,222266.10705693846,64.45775390918047,301.86557095026006,561951.0931771237,127.68913651196,443.85560191703183,1054564.478188471,187.75091961090448
1903900013485,MONTERREY,D,959.0,0.0,3.5738998063639693,6858338.396712725,1511.759618091959,26.993184821912152,32391.821786294582,11.41811717966884,151.1848949912887,220519.42172100616,63.95121058131512,299.4933506725792,557534.9824755845,126.685687334501,440.36754842383203,1046277.1493904054,186.27547298328096
1902100011003,CIUDAD GENERAL ESCOBEDO,D,1023.0,0.0,3.546309978873955,6805393.327324797,1500.089121063683,26.78480256359688,32141.763076316256,11.32997148440148,150.01777632599257,218817.05368241525,63.457519385894855,297.1813189069574,553230.9183384873,125.70769789764299,436.9679946166493,1038200.0885822028,184.83746172284268
1903100011654,CIUDAD BENITO JUÁREZ,D+,755.0,0.0,3.5436893395051983,6800364.302287586,1498.9805906106988,26.76500922671976,32118.01107206371,11.321598902902457,149.90691673024503,218655.3530446109,63.41062577689364,296.9617089268299,552822.0937480684,125.61480287604903,436.64508558263896,1037432.8832219848,184.7008712014563
1903100011993,CIUDAD BENITO JUÁREZ,D,1832.0,0.0,3.5357772450433944,6785180.938403357,1495.6337746533559,26.70525024081994,32046.300288983926,11.296320851866835,149.57221535774468,218167.15511242163,63.269047096326,296.2986742001753,551587.792372509,125.33433918667413,435.67017586781225,1035116.5777608018,184.28848439208457
1903100450321,JARDINES DE LA SILLA (JARDINES),C-,237.0,8.703220191470844,3.456353808682039,6632766.815817716,1462.0376610725023,26.10537570234634,31326.450842815608,11.042573922092503,146.21240547590156,213266.5112201911,61.84784751630636,289.6429780792498,539197.5893452645,122.51897972752266,425.8838063966909,1011864.9671692072,180.14885010580022
1903100450904,JARDINES DE LA SILLA (JARDINES),D,740.0,0.0,3.432892778446961,6587744.936860404,1452.1136452830644,25.92817769469088,31113.813233629055,10.967619164854241,145.21994525467156,211818.9012980534,61.42803684272607,287.67694015540474,535537.6252193309,121.6873456857362,422.9929932995465,1004996.6325302758,178.92603616570818
1903100012008,CIUDAD BENITO JUÁREZ,D,1029.0,0.0,3.427774790183029,6577923.482055784,1449.9487362474213,25.889522217310493,31067.426660772588,10.951267897922339,145.0034415583812,211503.10738286658,61.336455779195255,287.2480519557024,534739.2095804927,121.50592597726211,422.36236679439486,1003498.3157162833,178.659281154029
1904800011261,CIUDAD SANTA CATARINA,D,740.0,0.0,3.406322247779258,6536755.905110032,1440.874310810626,25.727494048257242,30872.992857908688,10.882729982412814,144.09594539275423,210179.4266694618,60.95258490113503,285.45032561947147,531392.5732724895,120.74548773703644,419.71903485515446,997217.9759951119,177.54115174373032
